authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,id,parentId,moderationStatus
Korakm Ghg,https://yt3.ggpht.com/-dXVnBOFRbDs/AAAAAAAAAAI/AAAAAAAAAAA/lFMpCb1h-eg/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC5YmCFmuZEgsemEK9scFBgw,UC5YmCFmuZEgsemEK9scFBgw,5-8kWn1tmXo,elllllllllllllllllllllllllllllllllllllllllllllllllllll,elllllllllllllllllllllllllllllllllllllllllllllllllllll,TRUE,none,0,2018-01-11T22:34:15.000Z,2018-01-11T22:34:15.000Z,Ugy9AdIBSg9Mn9tgRCh4AaABAg,NA,NA
Samerawit kerstiyan nagn,https://yt3.ggpht.com/-y-fgSHP8Opw/AAAAAAAAAAI/AAAAAAAAAAA/k5qGQZ435o8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCqbAFb3Kd9R8JNOZHWp12rQ,UCqbAFb3Kd9R8JNOZHWp12rQ,5-8kWn1tmXo,egzabher yemsgin betam des yelale   abatochachin egzabher erjim edmana tena yestachihu   betlotachiu asbunnnn🙇🙇🙇🙇,egzabher yemsgin betam des yelale   abatochachin egzabher erjim edmana tena yestachihu   betlotachiu asbunnnn🙇🙇🙇🙇,TRUE,none,0,2018-01-11T21:40:16.000Z,2018-01-11T21:40:16.000Z,Ugx0Vr8bw8p5czH57t94AaABAg,NA,NA
Nunush Tezera,https://yt3.ggpht.com/-Z0np4Tc6YPM/AAAAAAAAAAI/AAAAAAAAAAA/CryazDbq2z0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UClroZACzNbAJCrM40BDSVmQ,UClroZACzNbAJCrM40BDSVmQ,5-8kWn1tmXo,በጣም ድንቅ ነው እግዚያብሔር ያበረታቸው ጥበብን የፈጠረላቸው እቤቱን በጥበቡ ድንቅ ያደረገው ምን ይሳነዋል በህምነቴ እኮራለሁ አምላኬ ሆይ ሆርቶዶክስን ጠብቃት።,በጣም ድንቅ ነው እግዚያብሔር ያበረታቸው ጥበብን የፈጠረላቸው እቤቱን በጥበቡ ድንቅ ያደረገው ምን ይሳነዋል በህምነቴ እኮራለሁ አምላኬ ሆይ ሆርቶዶክስን ጠብቃት።,TRUE,none,0,2018-01-11T21:36:47.000Z,2018-01-11T21:36:47.000Z,Ugze6lMlHy9xol6mwEp4AaABAg,NA,NA
mesfin merekeb,https://yt3.ggpht.com/-GqROX4ABvww/AAAAAAAAAAI/AAAAAAAAAAA/_WuYzvDfh3g/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCkKjRXOpGXF2W3trZHgRU8A,UCkKjRXOpGXF2W3trZHgRU8A,5-8kWn1tmXo,Egziabeher Yemesegan!<br />Kiduse Lalibela Yeseraw Sera Tedegeme…<br />Kiduse ena Talake Abate!,"Egziabeher Yemesegan!
Kiduse Lalibela Yeseraw Sera Tedegeme…
Kiduse ena Talake Abate!",TRUE,none,0,2018-01-11T21:21:33.000Z,2018-01-11T21:21:33.000Z,Ugwm6IPARxdkoIjoGS54AaABAg,NA,NA
Samsung Mobiles,https://yt3.ggpht.com/-cbyd9kIEjqk/AAAAAAAAAAI/AAAAAAAAAAA/eAUrBFOOYcY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCAOeVun0wIQEK0Fu_tIN4gQ,UCAOeVun0wIQEK0Fu_tIN4gQ,5-8kWn1tmXo,E.r yemesjen new,E.r yemesjen new,TRUE,none,0,2018-01-11T21:15:42.000Z,2018-01-11T21:15:42.000Z,UgworDE-g9uCLjbTb-94AaABAg,NA,NA
ML Moss,https://yt3.ggpht.com/-4y_xWEFSBNw/AAAAAAAAAAI/AAAAAAAAAAA/R9Abo2WENDY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCLVkp7hZpXcnLVRM5K37cDQ,UCLVkp7hZpXcnLVRM5K37cDQ,5-8kWn1tmXo,ተዋህዶ እእምነት ዘልአለም ትንበር!!!,ተዋህዶ እእምነት ዘልአለም ትንበር!!!,TRUE,none,0,2018-01-11T21:06:22.000Z,2018-01-11T21:06:22.000Z,UgzvuRRG5qtx59JbtM54AaABAg,NA,NA
lij - Netsiiy27,https://yt3.ggpht.com/-Nunpzj-tZ9Q/AAAAAAAAAAI/AAAAAAAAAAA/ABqSOSNuHYM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC_tAiaj3dskX1XizJKDuvSg,UC_tAiaj3dskX1XizJKDuvSg,5-8kWn1tmXo,yegermal lekedus lalyebela kine Entsa melse yemiset lela tamer.Thanks God,yegermal lekedus lalyebela kine Entsa melse yemiset lela tamer.Thanks God,TRUE,none,0,2018-01-11T20:45:09.000Z,2018-01-11T20:45:09.000Z,UgzokLQJs_LzLK6xqUh4AaABAg,NA,NA
Yordanos Mehari,https://yt3.ggpht.com/-8hHHk2KELkY/AAAAAAAAAAI/AAAAAAAAAAA/aM7siaWflz4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCZZioV40368PEd1HS0W-tZA,UCZZioV40368PEd1HS0W-tZA,5-8kWn1tmXo,Wey egzabahir Serw denk new😇🙏🏼🙏🏼🙏🏼🙏🏼,Wey egzabahir Serw denk new😇🙏🏼🙏🏼🙏🏼🙏🏼,TRUE,none,0,2018-01-11T20:40:35.000Z,2018-01-11T20:40:35.000Z,UgxMKg7rlYB5pGmHFAJ4AaABAg,NA,NA
ድንግል ማርያምን ይዞ የሰላም ጉዞ,https://yt3.ggpht.com/-K0b0dyZ4hOc/AAAAAAAAAAI/AAAAAAAAAAA/fc4VHTqusM0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCSjCC_43MhZBw-ErHjgVmug,UCSjCC_43MhZBw-ErHjgVmug,5-8kWn1tmXo,ስለሁሉም ነገር እግዚአብሔር ይመስገን ይህ ድንቅ ተአምር ነው ተመስገን ኦርቶዶክስ ተዋህዶ ለዘለአለም ትኑር አሜን፫<br /><br />ለአባቶቻችን በፀጋ በእድሜ ይጠብቅልን አሜን፫,"ስለሁሉም ነገር እግዚአብሔር ይመስገን ይህ ድንቅ ተአምር ነው ተመስገን ኦርቶዶክስ ተዋህዶ ለዘለአለም ትኑር አሜን፫

ለአባቶቻችን በፀጋ በእድሜ ይጠብቅልን አሜን፫",TRUE,none,0,2018-01-11T20:40:24.000Z,2018-01-11T20:40:24.000Z,UgzG7ywNo9SDDUWg9Mt4AaABAg,NA,NA
Zed Zed,https://yt3.ggpht.com/-BttgVAYVi7s/AAAAAAAAAAI/AAAAAAAAAAA/jxRHppc94oI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCOoMf1Zv5-yxjImfYI5mKCQ,UCOoMf1Zv5-yxjImfYI5mKCQ,5-8kWn1tmXo,ወይኔ የግ ዜብሄር ታምር መጸሀፉን ነው ድንጋይ ላይ በትንታኔ ያስቀመጣቺሁት ይህንን ጥበብ የገለጠ መድሀኔ አለም ክብር ይግባው እልልልልልል,ወይኔ የግ ዜብሄር ታምር መጸሀፉን ነው ድንጋይ ላይ በትንታኔ ያስቀመጣቺሁት ይህንን ጥበብ የገለጠ መድሀኔ አለም ክብር ይግባው እልልልልልል,TRUE,none,0,2018-01-11T20:27:51.000Z,2018-01-11T20:27:51.000Z,UgwBuS3SAr_iy4yLBYd4AaABAg,NA,NA
