video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent
1XOOqxV-Nyw,2018-05-24T15:20:11.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,ፕሮፌሰር ብርሀኑ ነጋ ስለ አብይ አህመድ የተናገረው Ethiopia Dr. Abiy Ahmed,"ፕሮፌሰር ብርሀኑ ነጋ ስለ አብይ አህመድ የተናገረው Ethiopia Dr. Abiy Ahmed https://youtu.be/1XOOqxV-Nyw Kana tv, Kana drama, EBS TV, Jtv...",https://i.ytimg.com/vi/1XOOqxV-Nyw/default.jpg,120,90,https://i.ytimg.com/vi/1XOOqxV-Nyw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1XOOqxV-Nyw/hqdefault.jpg,480,360,fikir tube,none
vEt39Djxh4g,2018-06-28T11:22:03.000Z,UCs8lV8NMuib7unJhFJOOkqA,Dr.Abiy ahmed: ከጠ/ሚ አብይ ፅህፈት-ቤት የወጣ አዲስ መግለጫ,Dr.Abiy ahmed: ከጠ/ሚ አብይ ፅህፈት-ቤት የወጣ አዲስ መግለጫ.,https://i.ytimg.com/vi/vEt39Djxh4g/default.jpg,120,90,https://i.ytimg.com/vi/vEt39Djxh4g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vEt39Djxh4g/hqdefault.jpg,480,360,Addis Neger,none
-lVMV7KV5Xc,2018-05-19T20:09:34.000Z,UCPrlLz0nHztMMLfwfkpGiWA,Dr Abiy Ahmed on Sheik Mohammed Hussein Al Amoudi,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/f1E8kB Senselet Drama ...",https://i.ytimg.com/vi/-lVMV7KV5Xc/default.jpg,120,90,https://i.ytimg.com/vi/-lVMV7KV5Xc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-lVMV7KV5Xc/hqdefault.jpg,480,360,Addis Tribune,none
jeK10y6LTWw,2018-04-14T02:31:19.000Z,UCADXAQ-WsE6YusaG2FC23BQ,Dr Abiy Ahmed on Tigray People,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/jeK10y6LTWw/default.jpg,120,90,https://i.ytimg.com/vi/jeK10y6LTWw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jeK10y6LTWw/hqdefault.jpg,480,360,tenaadam,none
STGmqsBCHM0,2018-04-26T11:55:20.000Z,UCADXAQ-WsE6YusaG2FC23BQ,Ethiopia: PM Dr Abiy Ahmed's Speech In Awasa (Hawassa),"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/kATImk Unauthorized use, ...",https://i.ytimg.com/vi/STGmqsBCHM0/default.jpg,120,90,https://i.ytimg.com/vi/STGmqsBCHM0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/STGmqsBCHM0/hqdefault.jpg,480,360,tenaadam,none
Uwnnc3hSGfg,2018-07-08T18:55:19.000Z,UC_EcJddVDWRQeWlHVd9gfWw,PM Abiy Ahmed Speech in Asmara,PM Abiy Ahmed's speech during state dinner at the National Palace.,https://i.ytimg.com/vi/Uwnnc3hSGfg/default.jpg,120,90,https://i.ytimg.com/vi/Uwnnc3hSGfg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Uwnnc3hSGfg/hqdefault.jpg,480,360,borkena -   Ethiopian News,none
caUjI-QKQAg,2018-04-20T19:23:59.000Z,UCPrlLz0nHztMMLfwfkpGiWA,FULL: Dr Abiy Ahmed Speech in Gonder,"Check Out Ethiopian News, New Ethiopian Musics, Ethiopian Comedy and More Ethiopian Videos by Subscribing Here: https://goo.gl/f1E8kB Zemen Drama ...",https://i.ytimg.com/vi/caUjI-QKQAg/default.jpg,120,90,https://i.ytimg.com/vi/caUjI-QKQAg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/caUjI-QKQAg/hqdefault.jpg,480,360,Addis Tribune,none
yCJFqzmHMqw,2018-06-25T19:35:27.000Z,UC9Mt0PqBDH707e9moDpY_qQ,Ethiopia ዶ/ር አብይ በዛሬው ዕለት ያሳለፏቸው ሰበር ውሳኔዎች Dr Abiy Ahmed,,https://i.ytimg.com/vi/yCJFqzmHMqw/default.jpg,120,90,https://i.ytimg.com/vi/yCJFqzmHMqw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yCJFqzmHMqw/hqdefault.jpg,480,360,Addis Konjo,none
I0TqiBynUlc,2018-06-25T13:31:54.000Z,UC5OHRPjRa4XYIU5OQUdnDpg,ቦንቡን ያፈነዳችው እብድ ማን እንደላካት ተናገረች Dr. Abiy Ahmed,"ቦንቡን ያፈነዳችው ማን እንደላካት ተናገረች Dr. Abiy Ahmed https://youtu.be/I0TqiBynUlc Kana tv, Kana drama, EBS TV, Jtv ethiopia, New Ethiopian...",https://i.ytimg.com/vi/I0TqiBynUlc/default.jpg,120,90,https://i.ytimg.com/vi/I0TqiBynUlc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/I0TqiBynUlc/hqdefault.jpg,480,360,fikir tube,none
TMgOQsEExj8,2018-07-02T08:33:03.000Z,UChNiSzVzWsKBPElV_K0fsyQ,ABIY AHMED AND SADOR |ሳዶር እና ዶ/ር አብይ አስገራሚ ቪዲዮ| ADDISTIMES |ETHIOPIA,AMAZAING VIDEO OF DR ABI FAN CUTE KID SADOR SUBSCRIBE | LIKE | COMMENT.,https://i.ytimg.com/vi/TMgOQsEExj8/default.jpg,120,90,https://i.ytimg.com/vi/TMgOQsEExj8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TMgOQsEExj8/hqdefault.jpg,480,360,AddisTimes,none
