text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,link,user_network,user_hashtag
#Eritrea lost billions of dollars of port related revenue when it started the border war with #Ethiopia in May 1998… https://t.co/fF2wLVELxN,FALSE,1,NA,2018-07-06T16:52:47Z,TRUE,NA,1015277390057091100,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ethiopia_Abebe,3,FALSE,FALSE,NA,NA,https://t.co/fF2wLVELxN,,#Eritrea #Ethiopia
"RT @Therealmelkamu: The robot sophia talk with PM of #Ethiopia in amharic ,
Its her 2nd language after english . https://t.co/hrO9zvQZmy",FALSE,0,NA,2018-07-06T16:52:44Z,FALSE,NA,1015277378417889300,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_GN12k,16,TRUE,FALSE,NA,NA,https://t.co/hrO9zvQZmy,@Therealmelkamu,#Ethiopia
"@fitsumaregaa Great idea, and hope it'll engage lots of diaspora as #Ethiopia 🇪🇹 is now building inclusive and tran… https://t.co/rpNCO0ndEW",FALSE,0,fitsumaregaa,2018-07-06T16:52:03Z,TRUE,1015246951405838300,1015277206115967e3,935969937969074200,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AbiselomM,0,FALSE,FALSE,NA,NA,https://t.co/rpNCO0ndEW,@fitsumaregaa,#Ethiopia
"Good Man (Clean) by DJ Khaled ft Pusha T &amp; Jadakiss! Listen here: https://t.co/OhvVROpCjV
 Listen to MENELIK I by B… https://t.co/qwnkz63Elg",FALSE,1,NA,2018-07-06T16:51:46Z,TRUE,NA,1015277132677828600,NA,"<a href=""https://airtime.pro"" rel=""nofollow"">Airtime Pro</a>",boyfacemedia,0,FALSE,FALSE,NA,NA,https://t.co/OhvVROpCjV https://t.co/qwnkz63Elg,,
"Great idea, and hope it'll engage lots of diaspora as #Ethiopia 🇪🇹 is now building inclusive and transparent govern… https://t.co/i535bsm7Z4",FALSE,1,NA,2018-07-06T16:51:41Z,TRUE,NA,1015277112050311200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AbiselomM,0,FALSE,FALSE,NA,NA,https://t.co/i535bsm7Z4,,#Ethiopia
RT @daniel_berhane: #Ethiopia: The Council of Representatives of Tigray passed a resolution expressing its concern about the violation of t…,FALSE,0,NA,2018-07-06T16:51:23Z,FALSE,NA,1015277040046673900,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EsheteBekele,8,TRUE,FALSE,NA,NA,,@daniel_berhane,#Ethiopia
"RT @DekiSawa: Again .@Partisangirl you got it WRONG!

Not a single sentence in the article connects the late 1990s #Eritrea|n war  with why…",FALSE,0,NA,2018-07-06T16:51:19Z,FALSE,NA,1015277019796471800,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",EritreaRT1,1,TRUE,FALSE,NA,NA,,@DekiSawa @Partisangirl,#Eritrea
"RT @fitsumaregaa: HE PM Abiy Ahmed called for the establishment of Diaspora Trust Fund—that can be managed independently, which not only bo…",FALSE,0,NA,2018-07-06T16:51:07Z,FALSE,NA,1015276973134839800,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ConsulateGener5,172,TRUE,FALSE,NA,NA,,@fitsumaregaa,
"RT @fitsumaregaa: HE PM Abiy Ahmed called for the establishment of Diaspora Trust Fund—that can be managed independently, which not only bo…",FALSE,0,NA,2018-07-06T16:50:52Z,FALSE,NA,1015276906965594100,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JabirMvamila,172,TRUE,FALSE,NA,NA,,@fitsumaregaa,
"RT @tekerebanelim: ...beyond superficial speculation, I think what we're witnessing here (and this happens to be Keren at 330pm today) is a…",FALSE,0,NA,2018-07-06T16:50:18Z,FALSE,NA,1015276766372487200,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EsheteBekele,58,TRUE,FALSE,NA,NA,,@tekerebanelim,
"RT @TheMulugeta: Chagni Town (Awi Zone) as it Marches In support of of change, 600M flag, GiGi,... much more #March4Abiy #March4Democracy #…",FALSE,0,NA,2018-07-06T16:50:12Z,FALSE,NA,1015276742376935400,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",aradatimes,10,TRUE,FALSE,NA,NA,,@TheMulugeta,#March4Abiy #March4Democracy
"“Everyone can run a marathon. Believe me. It’s in your mind. I ran professionally for 25 years, but I’m still runni… https://t.co/K3TcqM0xBE",FALSE,0,NA,2018-07-06T16:49:05Z,TRUE,NA,1015276461014515700,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",RunforWater,0,FALSE,FALSE,NA,NA,https://t.co/K3TcqM0xBE,,
"Try to remember we also have beautiful culture and also laugh, dance and sing it out. It is not all bad. Keep the h… https://t.co/Ype1WUexrR",FALSE,2,Soli_GM,2018-07-06T16:48:32Z,TRUE,1015274157750341600,1015276322766164e3,89951255,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Soli_GM,1,FALSE,FALSE,NA,NA,https://t.co/Ype1WUexrR,,
RT @TomGardner18: A selection of #AbiyAhmed merchandise now available to buy on the streets of Addis Ababa #Abiymania #Ethiopia https://t.c…,FALSE,0,NA,2018-07-06T16:48:11Z,FALSE,NA,1015276232072671200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaggieFick,4,TRUE,FALSE,NA,NA,https://t.c,@TomGardner18,#AbiyAhmed #Abiymania #Ethiopia
"Again .@Partisangirl you got it WRONG!

Not a single sentence in the article connects the late 1990s #Eritrea|n war… https://t.co/aZQz0NGeR9",FALSE,0,NA,2018-07-06T16:47:38Z,TRUE,NA,1015276094914748400,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DekiSawa,1,FALSE,FALSE,NA,NA,https://t.co/aZQz0NGeR9,@Partisangirl,#Eritrea
ተክለሚካኤል አበበ በአርበኞች ግንቦት 7 ስብሰባ ተገኝቶ ያየውን ይነግረናል – Video https://t.co/qVOVLZdTcU via @Zehabesha #Ethiopia,FALSE,0,NA,2018-07-06T16:47:31Z,FALSE,NA,1015276064791244800,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",zehabesha,0,FALSE,FALSE,NA,NA,https://t.co/qVOVLZdTcU,@Zehabesha,#Ethiopia
Port of Tadjourah came online today.  #Ethiopia #Djibouti https://t.co/uQKvtiqWtj,FALSE,1,NA,2018-07-06T16:47:30Z,FALSE,NA,1015276062887043100,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ethiopia_Abebe,0,FALSE,FALSE,NA,NA,https://t.co/uQKvtiqWtj,,#Ethiopia #Djibouti
"RT @fitsumaregaa: HE PM Abiy Ahmed called for the establishment of Diaspora Trust Fund—that can be managed independently, which not only bo…",FALSE,0,NA,2018-07-06T16:46:49Z,FALSE,NA,1015275888055935e3,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EsheteBekele,172,TRUE,FALSE,NA,NA,,@fitsumaregaa,
"RT @wakojoel: .#Africa giants #Nigeria &amp; #SouthAfrica experiencing growth below 2%, #EastAfrica (@jumuiya)  is suitable alternative for for…",FALSE,0,NA,2018-07-06T16:46:41Z,FALSE,NA,1015275853813506e3,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",marc1705,3,TRUE,FALSE,NA,NA,,@wakojoel @jumuiya,#Africa #Nigeria #SouthAfrica #EastAfrica
"RT @RedSeaFisher: I thought Somalis were supposed to be our comrades, not our enemies. At this critical time, when even #Ethiopia and it's…",FALSE,0,NA,2018-07-06T16:46:25Z,FALSE,NA,1015275789485568e3,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",asterbeyene,15,TRUE,FALSE,NA,NA,,@RedSeaFisher,#Ethiopia
RT @oromopress: The recent violence in Eastern Hararge against civilians has been the most extreme we have seen including Liyu police burni…,FALSE,0,NA,2018-07-06T16:44:18Z,FALSE,NA,1015275256913616900,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Urgent_Oromo,1,TRUE,FALSE,NA,NA,,@oromopress,
"RT @stesfamariam: https://t.co/zVuoA6q1bf Time 4 the new #Ethiopia|n PM to #DrainTheSwamp &amp; take care of the ""YeQen ziboch""- Time to redres…",FALSE,0,NA,2018-07-06T16:44:02Z,FALSE,NA,1015275188550713300,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ghenet4Eritrea,6,TRUE,FALSE,NA,NA,https://t.co/zVuoA6q1bf,@stesfamariam,#Ethiopia #DrainTheSwamp
RT @oromopress: Oromia regional administration headed by Mr. Lemma Megersa and the federal govt headed by PM Abiy Ahmed have totally failed…,FALSE,0,NA,2018-07-06T16:43:46Z,FALSE,NA,1015275122985336800,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Urgent_Oromo,3,TRUE,FALSE,NA,NA,,@oromopress,
RT @kaffuwa: So ”dr” Abiy admits he was the architect of ”ande le amest”? What other crimes was he part of? The ppl wanna know. The only so…,FALSE,0,NA,2018-07-06T16:43:39Z,FALSE,NA,1015275093499539500,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ethiopia_Abebe,5,TRUE,FALSE,NA,NA,,@kaffuwa,
RT @AberaNetsanet: Great to see this. #Eritrea #Ethiopia https://t.co/DTjPAhpPkw,FALSE,0,NA,2018-07-06T16:43:14Z,FALSE,NA,1015274985785643e3,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",EritreaRT1,2,TRUE,FALSE,NA,NA,https://t.co/DTjPAhpPkw,@AberaNetsanet,#Eritrea #Ethiopia
RT @salina_abraha: #Eritrea #Ethiopia - DC Festival is upcoming this July :) I always look forward to finding the opportunities to meet w/…,FALSE,0,NA,2018-07-06T16:43:07Z,FALSE,NA,1015274956526161900,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SenuEriShikor,21,TRUE,FALSE,NA,NA,,@salina_abraha,#Eritrea #Ethiopia
RT @salina_abraha: #Eritrea #Ethiopia - DC Festival is upcoming this July :) I always look forward to finding the opportunities to meet w/…,FALSE,0,NA,2018-07-06T16:42:27Z,FALSE,NA,1015274788787499e3,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wegahta2000,21,TRUE,FALSE,NA,NA,,@salina_abraha,#Eritrea #Ethiopia
"Workout by Boy Face! Listen here: https://t.co/OhvVROpCjV
 Listen to MENELIK I by BOY FACE -https://t.co/G89t2AaYaG… https://t.co/PiMc6cblGU",FALSE,0,NA,2018-07-06T16:42:03Z,TRUE,NA,1015274688514330600,NA,"<a href=""https://airtime.pro"" rel=""nofollow"">Airtime Pro</a>",boyfacemedia,0,FALSE,FALSE,NA,NA,https://t.co/OhvVROpCjV https://t.co/G89t2AaYaG https://t.co/PiMc6cblGU,,
RT @FelixHorne1: Horrific torture and abuse in #Ethiopia’s Jail Ogaden. New 88 page @hrw report out today. New prime minister should take u…,FALSE,0,NA,2018-07-06T16:41:57Z,FALSE,NA,1015274663977644e3,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",afdinho,197,TRUE,FALSE,NA,NA,,@FelixHorne1 @hrw,#Ethiopia
#Ethiopia: “The ICC issue has been a nuisance in the partnership b/n #UN &amp; #AU. The sooner it’s addressed through g… https://t.co/UT3mMr6Wr3,FALSE,3,NA,2018-07-06T16:41:17Z,TRUE,NA,1015274494766846e3,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dgerima,1,FALSE,FALSE,NA,NA,https://t.co/UT3mMr6Wr3,,#Ethiopia #UN #AU
The #FutureIsBright #Ethiopia #DiasporaTrustFund... Visionary and all inclusive leader #PMAbiyAhmad has been a resc… https://t.co/HtJoYWHv8O,FALSE,1,NA,2018-07-06T16:40:49Z,TRUE,NA,1015274378089631700,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iDreamEthiopia,0,FALSE,FALSE,NA,NA,https://t.co/HtJoYWHv8O,,#FutureIsBright #Ethiopia #DiasporaTrustFund #PMAbiyAhmad
"RT @MohamedHamado14: Enfin journée mémorable, le Port of Tadjourah est fonctionnel est livre un premier convois du GPL par la route du Lac…",FALSE,0,NA,2018-07-06T16:40:32Z,FALSE,NA,1015274306585202700,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Ethiopia_Abebe,6,TRUE,FALSE,NA,NA,,@MohamedHamado14,
"Enfin journée mémorable, le Port of Tadjourah est fonctionnel est livre un premier convois du GPL par la route du L… https://t.co/vGmZk3RlvH",FALSE,15,NA,2018-07-06T16:40:16Z,TRUE,NA,1015274240013201400,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",MohamedHamado14,6,FALSE,FALSE,NA,NA,https://t.co/vGmZk3RlvH,,
Nothing is an excellent reminder of a beauty of a society as its art and music. በ #Ethiopia  ተስፋ ስትቆርጡ ግጥም አንብቡ ሙዚቃ… https://t.co/xTkXW61YJk,FALSE,19,NA,2018-07-06T16:39:56Z,TRUE,NA,1015274157750341600,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Soli_GM,0,FALSE,FALSE,NA,NA,https://t.co/xTkXW61YJk,,#Ethiopia
RT @addisstandard: Economic Commentary: FDI and democracy in #Ethiopia: Can FDI push for a well- administered government? - https://t.co/oq…,FALSE,0,NA,2018-07-06T16:39:46Z,FALSE,NA,1015274114158940200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ilyaaskhaled,1,TRUE,FALSE,NA,NA,https://t.co/oq,@addisstandard,#Ethiopia
"RT @EthioEmbassyUK: Amb. Hailemichael: @flyethiopian is a shining example of hard work, team work, innovation and management. I look forwar…",FALSE,0,NA,2018-07-06T16:39:38Z,FALSE,NA,1015274082231771100,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Datz_2Dope,7,TRUE,FALSE,NA,NA,,@EthioEmbassyUK @flyethiopian,
RT @ArayaAfro: #Eritrea #IStandwithEritrea #IStandwithYPFDJ #Ethiopia #HornOfAfrica https://t.co/hDjMkzyXXP,FALSE,0,NA,2018-07-06T16:39:34Z,FALSE,NA,1015274062661242900,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tesfu84497655,19,TRUE,FALSE,NA,NA,https://t.co/hDjMkzyXXP,@ArayaAfro,#Eritrea #IStandwithEritrea #IStandwithYPFDJ #Ethiopia #HornOfAfrica
Great to see this. #Eritrea #Ethiopia https://t.co/DTjPAhpPkw,FALSE,1,NA,2018-07-06T16:39:25Z,FALSE,NA,1015274024912457700,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AberaNetsanet,2,FALSE,FALSE,NA,NA,https://t.co/DTjPAhpPkw,,#Eritrea #Ethiopia
"RT @tekerebanelim: ...beyond superficial speculation, I think what we're witnessing here (and this happens to be Keren at 330pm today) is a…",FALSE,0,NA,2018-07-06T16:38:34Z,FALSE,NA,1015273814119342100,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SenuEriShikor,58,TRUE,FALSE,NA,NA,,@tekerebanelim,
"RT @tekerebanelim: ...beyond superficial speculation, I think what we're witnessing here (and this happens to be Keren at 330pm today) is a…",FALSE,0,NA,2018-07-06T16:38:28Z,FALSE,NA,1015273786646687700,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CabralSankara_X,58,TRUE,FALSE,NA,NA,,@tekerebanelim,
